xgcswgs84,ygcswgs84
11.615120746,48.112150975
11.524171977,48.127725114
11.53679923,48.146921013
11.695125881,48.115498568
11.613229592,48.186878795
11.477047649,48.115608358
11.487404171,48.086448292
11.671944744,48.119598211
11.527979581,48.079696533
11.441178101,48.145657033
11.569937638,48.104627016
11.534348297,48.110327893
11.646209038,48.21062212
11.4372513,48.19421695
11.528202414,48.140362479
11.620464617,48.1247048
11.576363984,48.111839787
11.612441421,48.153789875
11.456081851,48.163854233
11.423349939,48.142781942
11.521873783,48.189773535
11.563765894,48.17595177
11.641778108,48.213704793
11.517524155,48.111566097
11.603344411,48.157747862
11.51871723,48.141385769
11.563560119,48.226965991
11.521960691,48.126233177
11.562922376,48.11302805
11.653797187,48.094148177
11.483619057,48.144981335
11.534057973,48.140089991
11.618848172,48.137263944
11.471640862,48.145465864
11.606820491,48.184742645
11.658076598,48.139260778
11.537190598,48.149494537
11.606677712,48.108860745
11.479261527,48.123677395
11.406855062,48.140226693
11.562701611,48.092034983
11.435565544,48.150730919
11.51501443,48.141794526
11.537063663,48.152294546
11.423828596,48.142851426
11.694509219,48.115769777
11.481426186,48.145115594
11.453251811,48.146897984
11.479690612,48.088582758
11.687467474,48.117953971
11.502594533,48.102806329
11.49124074,48.209746295
11.526160989,48.140515155
11.534309331,48.187038933
11.53703763,48.1517361
11.445346296,48.148480614
11.619049536,48.11816257
11.615909887,48.15392501
11.507504471,48.125462257
11.496255743,48.125109849
11.613947218,48.104619266
11.430744242,48.179763323
11.480317156,48.216654328
11.538771374,48.09110003
11.62637462,48.215101642
11.505650667,48.142808191
11.632165439,48.221285128
11.467282399,48.114692891
11.629086664,48.128727263
11.646655095,48.210492947
11.537357707,48.151773836
11.547571059,48.193621595
11.461266952,48.181564624
11.604940424,48.108658988
11.612582962,48.18574642
11.518511073,48.120920809
11.534770098,48.14008943
11.479737066,48.123248288
11.691482028,48.141032018
11.563043993,48.113038217
11.426378273,48.143196998
11.400669982,48.156661693
11.518829173,48.141288351
11.507802063,48.142629438
11.629128955,48.220636246
11.599593231,48.107606454
11.437081076,48.194924755
11.582649011,48.104800296
11.518934755,48.141273471
11.61493161,48.136870989
11.491587588,48.12396784
11.48862916,48.095427453
11.521278069,48.12529348
11.615320902,48.193250162
11.502734338,48.142995765
11.502159393,48.192998403
11.615168685,48.135796311
11.459628875,48.191120989
11.582590188,48.104820297
11.579795374,48.107862094
11.556789691,48.178600659
11.456317648,48.150880538
11.584218355,48.195753772
11.587095629,48.210510209
11.599574409,48.107602474
11.459236238,48.146375029
11.615005147,48.109063868
11.468195078,48.209757019
11.61231484,48.110367762
11.477546895,48.14523762
11.406978868,48.176845118
