Unnamed: 0,land,regbez,kreis,gemeinde,jahr,monat,stunde,wochentag,kategorie,art,typ,licht,strzustand,ist_rad,ist_pkw,ist_fuss,ist_krad,ist_gkfz,ist_sonstige,linrefx,linrefy,xgcswgs84,ygcswgs84,ags
60599,9,1,62,0,2016,1,16,1,3,5,7,2,1,0,1,0,0,0.0,0,694645.8088,5332073.4572,11.615120746,48.112150975,09162000
60685,9,1,62,0,2016,1,14,1,3,3,6,0,0,0,1,0,0,0.0,0,687820.0791,5333578.1613,11.524171977,48.127725114,09162000
60858,9,1,62,0,2016,1,15,1,2,3,6,0,1,1,0,0,0,0.0,0,688689.197,5335742.448,11.53679923,48.146921013,09162000
60958,9,1,62,0,2016,1,3,6,3,6,4,2,1,0,1,1,0,0.0,0,700587.1593,5332651.0562,11.695125881,48.115498568,09162000
61076,9,1,62,0,2016,1,14,3,3,2,6,0,1,0,1,0,0,0.0,0,694222.71,5340373.636,11.613229592,48.186878795,09162000
61159,9,1,62,0,2016,1,14,5,2,5,2,0,0,1,1,0,0,0.0,0,684357.2371,5332117.5211,11.477047649,48.115608358,09162000
61190,9,1,62,0,2016,1,17,2,3,5,3,2,1,0,1,0,0,0.0,0,685232.768,5328901.646,11.487404171,48.086448292,09162000
61191,9,1,62,0,2016,1,12,3,3,2,5,0,0,0,1,0,0,1.0,1,698846.1875,5333046.4715,11.671944744,48.119598211,09162000
61228,9,1,62,0,2016,1,10,5,3,2,6,0,0,0,1,0,0,0.0,0,688278.7938,5328249.7514,11.527979581,48.079696533,09162000
61266,9,1,62,0,2016,1,14,2,3,4,1,0,1,0,1,0,0,0.0,0,681581.758,5335371.704,11.441178101,48.145657033,09162000
61338,9,1,62,0,2016,1,12,7,3,5,2,0,1,0,1,0,0,0.0,0,691310.9729,5331123.9217,11.569937638,48.104627016,09162000
61344,9,1,62,0,2016,1,17,3,2,6,4,2,0,0,1,1,0,0.0,0,688640.9474,5331669.6009,11.534348297,48.110327893,09162000
61464,9,1,62,0,2016,1,19,7,3,3,6,2,1,0,1,0,0,0.0,0,696582.7308,5343096.2897,11.646209038,48.21062212,09162000
61468,9,1,62,0,2016,1,19,4,2,9,1,2,1,0,1,0,0,0.0,0,681118.5269,5340759.2954,11.4372513,48.19421695,09162000
61483,9,1,62,0,2016,1,7,3,3,3,7,0,0,0,0,0,0,1.0,1,688073.7752,5334992.4885,11.528202414,48.140362479,09162000
61528,9,1,62,0,2016,1,20,6,3,0,7,2,0,0,1,0,0,0.0,0,694995.987,5333482.1714,11.620464617,48.1247048,09162000
61565,9,1,62,0,2016,1,5,4,3,5,2,2,1,1,1,0,0,0.0,0,691762.4774,5331941.5212,11.576363984,48.111839787,09162000
61572,9,1,62,0,2016,1,7,2,3,2,6,1,0,0,1,0,0,0.0,0,694289.1607,5336694.2574,11.612441421,48.153789875,09162000
61619,9,1,62,0,2016,1,14,3,3,2,6,0,1,0,1,0,0,0.0,0,682625.6456,5337429.407,11.456081851,48.163854233,09162000
61633,9,1,62,0,2016,1,19,4,3,6,4,2,0,0,1,1,0,0.0,0,680265.8072,5335010.2192,11.423349939,48.142781942,09162000
61638,9,1,62,0,2016,1,16,2,3,4,7,1,0,0,1,0,0,0.0,0,687422.816,5340468.437,11.521873783,48.189773535,09162000
61663,9,1,62,0,2016,1,12,6,3,2,6,0,1,0,1,0,0,0.0,0,690587.2239,5339035.3743,11.563765894,48.17595177,09162000
61676,9,1,62,0,2016,1,18,7,3,2,6,2,2,0,1,0,0,0.0,0,696241.8034,5343427.5555,11.641778108,48.213704793,09162000
61724,9,1,62,0,2016,1,12,5,3,3,6,0,0,0,1,0,0,1.0,0,687384.247,5331766.088,11.517524155,48.111566097,09162000
61793,9,1,62,0,2016,1,13,5,3,0,7,0,1,0,0,0,0,0.0,1,693597.7608,5337111.1797,11.603344411,48.157747862,09162000
61824,9,1,62,0,2016,1,15,7,3,4,3,0,1,0,1,0,0,0.0,0,687364.493,5335083.055,11.51871723,48.141385769,09162000
61853,9,1,62,0,2016,1,9,7,2,8,6,0,0,0,1,0,0,0.0,0,690382.6905,5344704.454,11.563560119,48.226965991,09162000
61901,9,1,62,0,2016,1,12,5,3,5,3,0,0,0,1,0,0,0.0,0,687660.99,5333406.954,11.521960691,48.126233177,09162000
61936,9,1,62,0,2016,1,17,3,2,3,6,2,1,0,1,0,0,0.0,0,690757.6707,5332040.1564,11.562922376,48.11302805,09162000
61963,9,1,62,0,2016,1,13,2,3,5,3,0,1,0,1,0,0,0.0,0,697593.339,5330171.316,11.653797187,48.094148177,09162000
61971,9,1,62,0,2016,1,14,4,3,2,2,0,0,0,1,0,0,0.0,0,684740.8495,5335397.7196,11.483619057,48.144981335,09162000
62018,9,1,62,0,2016,1,15,4,3,3,2,0,0,0,1,0,0,0.0,1,688510.3394,5334976.5454,11.534057973,48.140089991,09162000
62064,9,1,62,0,2016,1,23,3,3,4,1,2,1,0,1,0,0,0.0,0,694828.1707,5334873.8446,11.618848172,48.137263944,09162000
62078,9,1,62,0,2016,1,15,4,3,5,2,0,0,1,1,0,0,0.0,0,683848.1957,5335422.8554,11.471640862,48.145465864,09162000
62082,9,1,62,0,2016,1,17,5,3,2,6,2,0,0,1,0,0,0.0,0,693754.4595,5340120.0483,11.606820491,48.184742645,09162000
62156,9,1,62,0,2016,1,18,3,3,2,6,2,1,0,1,0,0,1.0,0,697738.6551,5335195.9144,11.658076598,48.139260778,09162000
62203,9,1,62,0,2016,1,8,4,3,6,7,0,0,0,1,1,0,0.0,0,688708.8649,5336029.4221,11.537190598,48.149494537,09162000
62242,9,1,62,0,2016,1,13,5,3,2,6,0,1,0,1,0,0,0.0,0,694029.8258,5331686.4637,11.606677712,48.108860745,09162000
62253,9,1,62,0,2016,1,0,5,3,8,1,2,2,0,1,0,0,0.0,0,684493.087,5333019.598,11.479261527,48.123677395,09162000
62259,9,1,62,0,2016,1,6,2,3,3,2,1,1,0,1,0,0,1.0,0,679047.7713,5334687.692,11.406855062,48.140226693,09162000
62271,9,1,62,0,2016,1,7,6,3,6,4,0,2,0,1,1,0,0.0,0,690818.9668,5329706.5253,11.562701611,48.092034983,09162000
62341,9,1,62,0,2016,1,7,6,3,5,3,1,1,1,1,0,0,0.0,0,681146.4416,5335922.3638,11.435565544,48.150730919,09162000
62401,9,1,62,0,2016,1,11,2,3,0,2,0,0,1,1,0,0,0.0,0,687087.579,5335119.466,11.51501443,48.141794526,09162000
62409,9,1,62,0,2016,1,8,6,3,1,6,2,0,0,1,0,0,0.0,0,688689.1535,5336340.2948,11.537063663,48.152294546,09162000
62442,9,1,62,0,2016,1,16,7,3,5,2,1,1,0,1,0,0,0.0,0,680301.1673,5335019.0639,11.423828596,48.142851426,09162000
62486,9,1,62,0,2016,1,19,6,3,2,6,2,0,0,1,0,0,0.0,0,700540.2113,5332679.5888,11.694509219,48.115769777,09162000
62552,9,1,62,0,2016,1,19,6,3,2,2,2,2,0,1,0,0,0.0,0,684577.2651,5335407.3737,11.481426186,48.145115594,09162000
62555,9,1,62,0,2016,1,19,1,3,4,2,2,1,0,1,0,0,0.0,0,682475.374,5335538.207,11.453251811,48.146897984,09162000
62581,9,1,62,0,2016,1,9,4,3,3,2,0,0,1,0,0,0,0.0,0,684650.7459,5329120.3241,11.479690612,48.088582758,09162000
62619,9,1,62,0,2016,1,12,6,3,2,6,0,1,0,1,0,0,0.0,0,700007.6843,5332903.9916,11.687467474,48.117953971,09162000
62646,9,1,62,0,2016,1,8,5,3,3,6,0,0,0,1,0,0,0.0,0,686304.756,5330756.2956,11.502594533,48.102806329,09162000
62708,9,1,62,0,2016,1,7,6,3,1,6,0,1,0,1,0,0,0.0,0,685074.3673,5342613.8943,11.49124074,48.209746295,09162000
62715,9,1,62,0,2016,1,10,4,3,2,6,0,0,0,1,0,0,0.0,0,687921.3661,5335004.4648,11.526160989,48.140515155,09162000
62720,9,1,62,0,2016,1,12,7,3,3,6,0,0,0,1,0,0,0.0,1,688356.9716,5340194.9325,11.534309331,48.187038933,09162000
62778,9,1,62,0,2016,1,23,7,2,3,6,2,1,0,1,0,1,0.0,0,688689.266,5336278.167,11.53703763,48.1517361,09162000
62805,9,1,62,0,2016,1,19,1,3,6,2,2,1,0,1,1,0,0.0,0,681881.7977,5335695.3632,11.445346296,48.148480614,09162000
62860,9,1,62,0,2016,1,22,7,3,5,3,2,1,0,1,0,0,0.0,0,694915.458,5332751.509,11.619049536,48.11816257,09162000
